Protein_Accession	Sequence_MD5_digest	Sequence_Length	Analysis	Signature_Accession	Signature_Description	Start_Location	Stop_location	E-value_Score	Status	Date	InterPro_annotations_accession	InterPro_annotations_description
S1926	356447d4805cec6f54761e5aabb11c4c	37	Pfam	PF03881	Fructosamine kinase	1	36	2.9E-14	T	18-04-2018	IPR016477	Fructosamine/Ketosamine-3-kinase
S1453	9e65e06f5550bc5dcd31573efade0bab	56	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	T	18-04-2018
S1453	9e65e06f5550bc5dcd31573efade0bab	56	SUPERFAMILY	SSF48113		2	56	2.57E-17	T	18-04-2018	IPR010255	Haem peroxidase
S1453	9e65e06f5550bc5dcd31573efade0bab	56	Pfam	PF00141	Peroxidase	6	56	8.0E-7	T	18-04-2018	IPR002016	Haem peroxidase, plant/fungal/bacterial
S1453	9e65e06f5550bc5dcd31573efade0bab	56	Gene3D	G3DSA:1.10.520.10		1	56	3.5E-16	T	18-04-2018
S0916	f753e3246cdf1f3223d882eaa97a939f	28	Pfam	PF01624	MutS domain I	1	28	1.4E-9	T	18-04-2018	IPR007695	DNA mismatch repair protein MutS-like, N-terminal
S0916	f753e3246cdf1f3223d882eaa97a939f	28	SUPERFAMILY	SSF55271		1	28	1.44E-10	T	18-04-2018	IPR016151	DNA mismatch repair protein MutS, N-terminal
S0916	f753e3246cdf1f3223d882eaa97a939f	28	Gene3D	G3DSA:3.40.1170.10		1	28	1.2E-10	T	18-04-2018	IPR016151	DNA mismatch repair protein MutS, N-terminal
S3133	fe1686d11cf35c5adf04fd3971ae0d7a	154	Gene3D	G3DSA:3.50.50.60		1	154	8.2E-41	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3133	fe1686d11cf35c5adf04fd3971ae0d7a	154	SUPERFAMILY	SSF51905		80	153	4.1E-5	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3133	fe1686d11cf35c5adf04fd3971ae0d7a	154	Pfam	PF04820	Tryptophan halogenase	2	154	1.2E-45	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S0719	766aa4044410d945a592d80944e56ced	97	Gene3D	G3DSA:3.40.190.10		1	97	3.9E-18	T	18-04-2018
S0719	766aa4044410d945a592d80944e56ced	97	SUPERFAMILY	SSF53850		2	94	8.03E-20	T	18-04-2018
S0719	766aa4044410d945a592d80944e56ced	97	Pfam	PF13416	Bacterial extracellular solute-binding protein	3	74	6.2E-9	T	18-04-2018	IPR006059	Bacterial extracellular solute-binding protein
S2678	8c2b91349885629a0d813923582e84cd	32	MobiDBLite	mobidb-lite	consensus disorder prediction	1	32	-	T	18-04-2018
S1535	c47cf81067cf135f27b4e4c1b303a658	148	Pfam	PF04820	Tryptophan halogenase	88	145	3.2E-6	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S1535	c47cf81067cf135f27b4e4c1b303a658	148	Gene3D	G3DSA:3.50.50.60		65	148	2.9E-8	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1535	c47cf81067cf135f27b4e4c1b303a658	148	SUPERFAMILY	SSF51905		62	146	8.74E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3310	9a9a2d01ca16f2e709ecd5a16f6a8c53	151	Gene3D	G3DSA:3.50.50.60		1	151	4.2E-16	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3310	9a9a2d01ca16f2e709ecd5a16f6a8c53	151	Pfam	PF04820	Tryptophan halogenase	4	151	5.9E-14	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S2149	6d105aa8745b0d742c043c4f58be9977	39	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	T	18-04-2018
S3486	64685af7f090ac9185b84083994448fd	28	MobiDBLite	mobidb-lite	consensus disorder prediction	1	28	-	T	18-04-2018
S2046	01ed48d42ec96306646c644f477c1f72	70	Pfam	PF00860	Permease family	1	63	2.5E-9	T	18-04-2018	IPR006043	Xanthine/uracil/vitamin C permease
S1588	1b01a200c27bf9e3f5ffa789f3ac19f0	31	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	18-04-2018
S2038	f04f3889545b8c200f610ef77f318c5e	51	MobiDBLite	mobidb-lite	consensus disorder prediction	27	51	-	T	18-04-2018
S0565	984e0cb2b664c800e2986c521bdb34f2	114	MobiDBLite	mobidb-lite	consensus disorder prediction	1	90	-	T	18-04-2018
S0120	25ab5771599dbaf1d237a4233373b846	44	Gene3D	G3DSA:3.40.50.300		1	44	1.6E-6	T	18-04-2018
S0120	25ab5771599dbaf1d237a4233373b846	44	Pfam	PF01695	IstB-like ATP binding protein	2	44	9.6E-8	T	18-04-2018	IPR002611	IstB-like ATP-binding protein
S0120	25ab5771599dbaf1d237a4233373b846	44	SUPERFAMILY	SSF52540		3	39	1.57E-5	T	18-04-2018	IPR027417	P-loop containing nucleoside triphosphate hydrolase
S0226	d34e0d11e398caf223ec10c06c6899c3	51	MobiDBLite	mobidb-lite	consensus disorder prediction	1	32	-	T	18-04-2018
S0884	04bd76f3db7008c156149679b6be135b	38	Pfam	PF00494	Squalene/phytoene synthase	5	38	1.6E-8	T	18-04-2018	IPR002060	Squalene/phytoene synthase
S0884	04bd76f3db7008c156149679b6be135b	38	Gene3D	G3DSA:1.10.600.10		1	38	4.7E-11	T	18-04-2018	IPR008949	Isoprenoid synthase domain superfamily
S0884	04bd76f3db7008c156149679b6be135b	38	SUPERFAMILY	SSF48576		3	38	1.41E-8	T	18-04-2018	IPR008949	Isoprenoid synthase domain superfamily
S0134	33dff6e2fd3bb86eb042ffd87e6bb9ba	27	SUPERFAMILY	SSF50998		1	27	8.24E-8	T	18-04-2018	IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily
S0134	33dff6e2fd3bb86eb042ffd87e6bb9ba	27	Gene3D	G3DSA:2.140.10.10		1	27	1.3E-10	T	18-04-2018
S0142	ea609c3dc3d1769581c7f02792df475e	39	MobiDBLite	mobidb-lite	consensus disorder prediction	1	39	-	T	18-04-2018
S3238	9bb56b5ad5e591d1e3048de71ab1ce96	153	Gene3D	G3DSA:3.50.50.60		1	153	1.2E-18	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3238	9bb56b5ad5e591d1e3048de71ab1ce96	153	Pfam	PF04820	Tryptophan halogenase	5	153	4.8E-16	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3238	9bb56b5ad5e591d1e3048de71ab1ce96	153	SUPERFAMILY	SSF51905		82	153	1.21E-5	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2198	6cef2f44c56d30381be0134edfad919a	36	MobiDBLite	mobidb-lite	consensus disorder prediction	1	36	-	T	18-04-2018
S1546	1fa9d860e6f9dd1eca782e1b18f4ea54	38	SUPERFAMILY	SSF89796		11	38	1.19E-5	T	18-04-2018	IPR023606	CoA-transferase family III domain superfamily
S1546	1fa9d860e6f9dd1eca782e1b18f4ea54	38	Gene3D	G3DSA:3.40.50.10540		1	38	4.6E-6	T	18-04-2018	IPR023606	CoA-transferase family III domain superfamily
S2066	a1170ab66ca8b0ea933070eba1879e1b	49	SUPERFAMILY	SSF53474		4	44	4.18E-7	T	18-04-2018	IPR029058	Alpha/Beta hydrolase fold
S2066	a1170ab66ca8b0ea933070eba1879e1b	49	Gene3D	G3DSA:3.40.50.1820		1	49	1.4E-7	T	18-04-2018	IPR029058	Alpha/Beta hydrolase fold
S1197	ff590c39b81ddf2e6e2cd471696bf83e	28	MobiDBLite	mobidb-lite	consensus disorder prediction	1	28	-	T	18-04-2018
S0499	018c7b88f3e85b578617e7f0f3650fae	111	SUPERFAMILY	SSF56037		39	111	1.57E-5	T	18-04-2018
S0499	018c7b88f3e85b578617e7f0f3650fae	111	MobiDBLite	mobidb-lite	consensus disorder prediction	22	42	-	T	18-04-2018
S0499	018c7b88f3e85b578617e7f0f3650fae	111	TIGRFAM	TIGR02433	lysidine_TilS_C: tRNA(Ile)-lysidine synthetase, C-terminal domain	88	111	1.3E-6	T	18-04-2018	IPR012796	Lysidine-tRNA(Ile) synthetase, C-terminal
S0499	018c7b88f3e85b578617e7f0f3650fae	111	MobiDBLite	mobidb-lite	consensus disorder prediction	90	111	-	T	18-04-2018
S0598	eebdd2486d33d5aac0b59087e16ca413	150	Pfam	PF00310	Glutamine amidotransferases class-II	102	148	9.6E-27	T	18-04-2018	IPR017932	Glutamine amidotransferase type 2 domain
S0598	eebdd2486d33d5aac0b59087e16ca413	150	SUPERFAMILY	SSF56235		101	150	5.15E-23	T	18-04-2018	IPR029055	Nucleophile aminohydrolases, N-terminal
S0598	eebdd2486d33d5aac0b59087e16ca413	150	MobiDBLite	mobidb-lite	consensus disorder prediction	1	99	-	T	18-04-2018
S0598	eebdd2486d33d5aac0b59087e16ca413	150	ProSiteProfiles	PS51278	Glutamine amidotransferase type 2 domain profile.	1	150	8.903	T	18-04-2018	IPR017932	Glutamine amidotransferase type 2 domain
S0598	eebdd2486d33d5aac0b59087e16ca413	150	Gene3D	G3DSA:3.60.20.10		98	150	5.3E-26	T	18-04-2018	IPR029055	Nucleophile aminohydrolases, N-terminal
S1211	338804a4423e524cfb0844d06aebe8c2	83	MobiDBLite	mobidb-lite	consensus disorder prediction	1	46	-	T	18-04-2018
S1211	338804a4423e524cfb0844d06aebe8c2	83	MobiDBLite	mobidb-lite	consensus disorder prediction	64	83	-	T	18-04-2018
S0994	ac5cf720810b49d0e7559a5fd6850d9d	91	Pfam	PF01804	Penicillin amidase	4	90	4.9E-12	T	18-04-2018	IPR002692	Penicillin/GL-7-ACA/AHL/aculeacin-A acylase
S0994	ac5cf720810b49d0e7559a5fd6850d9d	91	SUPERFAMILY	SSF56235		6	89	2.5E-10	T	18-04-2018	IPR029055	Nucleophile aminohydrolases, N-terminal
S0994	ac5cf720810b49d0e7559a5fd6850d9d	91	Gene3D	G3DSA:3.60.20.10		1	91	7.9E-13	T	18-04-2018	IPR029055	Nucleophile aminohydrolases, N-terminal
S2598	9f69e1137cbd15c0f26da02d759ca670	90	ProSiteProfiles	PS50853	Fibronectin type-III domain profile.	34	90	9.618	T	18-04-2018	IPR003961	Fibronectin type III
S2598	9f69e1137cbd15c0f26da02d759ca670	90	SUPERFAMILY	SSF49265		2	79	6.21E-9	T	18-04-2018	IPR036116	Fibronectin type III superfamily
S2598	9f69e1137cbd15c0f26da02d759ca670	90	ProSiteProfiles	PS50853	Fibronectin type-III domain profile.	1	31	6.778	T	18-04-2018	IPR003961	Fibronectin type III
S2598	9f69e1137cbd15c0f26da02d759ca670	90	Gene3D	G3DSA:2.60.40.10		26	90	1.4E-5	T	18-04-2018	IPR013783	Immunoglobulin-like fold
S1457	174fb81611e8824db89976ccdde63924	28	MobiDBLite	mobidb-lite	consensus disorder prediction	1	28	-	T	18-04-2018
S1847	ae615da1a1a2cf2d20580fcc4e182ed7	61	Gene3D	G3DSA:3.40.50.300		18	61	1.3E-6	T	18-04-2018
S1847	ae615da1a1a2cf2d20580fcc4e182ed7	61	SUPERFAMILY	SSF52540		25	61	2.78E-8	T	18-04-2018	IPR027417	P-loop containing nucleoside triphosphate hydrolase
S1408	561883045fe27978e9141d729dd836af	27	MobiDBLite	mobidb-lite	consensus disorder prediction	1	27	-	T	18-04-2018
S1086	40be732e5035734bc81cb38da0b03237	152	MobiDBLite	mobidb-lite	consensus disorder prediction	49	99	-	T	18-04-2018
S1086	40be732e5035734bc81cb38da0b03237	152	MobiDBLite	mobidb-lite	consensus disorder prediction	1	23	-	T	18-04-2018
S1086	40be732e5035734bc81cb38da0b03237	152	MobiDBLite	mobidb-lite	consensus disorder prediction	116	152	-	T	18-04-2018
S2260	9ea26ce5b539502ad97ef43c5b0ce510	62	MobiDBLite	mobidb-lite	consensus disorder prediction	41	62	-	T	18-04-2018
S2302	4277efb73f4a5007e8fcee415c4f5295	63	MobiDBLite	mobidb-lite	consensus disorder prediction	1	25	-	T	18-04-2018
S2302	4277efb73f4a5007e8fcee415c4f5295	63	MobiDBLite	mobidb-lite	consensus disorder prediction	39	63	-	T	18-04-2018
S2971	3ca2a859bd5413e2791aa4f432f7c98f	148	Gene3D	G3DSA:3.50.50.60		1	148	1.9E-30	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2971	3ca2a859bd5413e2791aa4f432f7c98f	148	Pfam	PF04820	Tryptophan halogenase	5	147	1.9E-34	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3599	560c62a957a47c86d3f4a1e883d7074e	78	CDD	cd00082	HisKA	23	78	1.32926E-11	T	18-04-2018	IPR003661	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
S3599	560c62a957a47c86d3f4a1e883d7074e	78	SUPERFAMILY	SSF47384		12	77	2.75E-14	T	18-04-2018	IPR036097	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain superfamily
S3599	560c62a957a47c86d3f4a1e883d7074e	78	Gene3D	G3DSA:1.10.287.130		16	78	1.5E-15	T	18-04-2018
S3599	560c62a957a47c86d3f4a1e883d7074e	78	Pfam	PF00512	His Kinase A (phospho-acceptor) domain	25	78	3.6E-12	T	18-04-2018	IPR003661	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
S1344	0098b8747ca14cb9853ce28a6bd4588a	48	MobiDBLite	mobidb-lite	consensus disorder prediction	1	48	-	T	18-04-2018
S1096	57e3dd7c038a8afd4f488b137d98bfb0	39	Pfam	PF01580	FtsK/SpoIIIE family	5	39	6.2E-9	T	18-04-2018	IPR002543	FtsK domain
S1096	57e3dd7c038a8afd4f488b137d98bfb0	39	Gene3D	G3DSA:3.40.50.300		1	39	1.3E-11	T	18-04-2018
S0743	81722b648038cbf5aa45ce88c5c7ec99	91	Gene3D	G3DSA:3.40.630.30		12	91	8.4E-14	T	18-04-2018
S0743	81722b648038cbf5aa45ce88c5c7ec99	91	SUPERFAMILY	SSF55729		11	89	4.12E-10	T	18-04-2018	IPR016181	Acyl-CoA N-acyltransferase
S2051	e98217bf65271d0831089c4533aa6256	66	Gene3D	G3DSA:3.40.50.970		2	66	3.5E-10	T	18-04-2018
S2051	e98217bf65271d0831089c4533aa6256	66	Pfam	PF02776	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	18	65	2.5E-9	T	18-04-2018	IPR012001	Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain
S2051	e98217bf65271d0831089c4533aa6256	66	SUPERFAMILY	SSF52518		25	65	6.34E-8	T	18-04-2018	IPR029061	Thiamin diphosphate-binding fold
S2051	e98217bf65271d0831089c4533aa6256	66	CDD	cd07035	TPP_PYR_POX_like	25	66	5.18765E-11	T	18-04-2018
S2491	5ac816239682aae2363826da5743d833	147	MobiDBLite	mobidb-lite	consensus disorder prediction	1	98	-	T	18-04-2018
S3539	6522050589d152fa772955e4684f4855	84	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	T	18-04-2018
S3539	6522050589d152fa772955e4684f4855	84	Pfam	PF11799	impB/mucB/samB family C-terminal domain	4	82	3.2E-12	T	18-04-2018	IPR017961	DNA polymerase, Y-family, little finger domain
S3539	6522050589d152fa772955e4684f4855	84	SUPERFAMILY	SSF100879		5	83	3.92E-20	T	18-04-2018	IPR036775	DNA polymerase, Y-family, little finger domain superfamily
S3539	6522050589d152fa772955e4684f4855	84	Gene3D	G3DSA:3.30.1490.100		7	84	5.0E-19	T	18-04-2018	IPR036775	DNA polymerase, Y-family, little finger domain superfamily
S0482	2b24866fc757274ee166b8bc13d95efc	31	Gene3D	G3DSA:2.60.120.10		1	31	7.5E-6	T	18-04-2018	IPR014710	RmlC-like jelly roll fold
S0482	2b24866fc757274ee166b8bc13d95efc	31	SUPERFAMILY	SSF51206		1	31	2.09E-5	T	18-04-2018	IPR018490	Cyclic nucleotide-binding-like
S0482	2b24866fc757274ee166b8bc13d95efc	31	ProSiteProfiles	PS50042	cAMP/cGMP binding motif profile.	1	31	7.654	T	18-04-2018	IPR000595	Cyclic nucleotide-binding domain
S3236	cc7cfeea547f7ebeb5841f1bd7d1cd93	52	MobiDBLite	mobidb-lite	consensus disorder prediction	1	52	-	T	18-04-2018
S1270	4e4e982c13eac79d195985514a09c32c	85	Pfam	PF00909	Ammonium Transporter Family	2	62	8.0E-15	T	18-04-2018	IPR024041	Ammonium transporter AmtB-like domain
S1270	4e4e982c13eac79d195985514a09c32c	85	Gene3D	G3DSA:1.10.3430.10		1	65	4.1E-14	T	18-04-2018	IPR029020	Ammonium/urea transporter
S1270	4e4e982c13eac79d195985514a09c32c	85	MobiDBLite	mobidb-lite	consensus disorder prediction	63	85	-	T	18-04-2018
S1270	4e4e982c13eac79d195985514a09c32c	85	SUPERFAMILY	SSF111352		2	60	9.15E-14	T	18-04-2018
S0487	aa8d634c8632c4e794749dd5618d654e	122	MobiDBLite	mobidb-lite	consensus disorder prediction	1	22	-	T	18-04-2018
S0526	87fb89f9a38ff9c65d0bc8ee9af17547	107	SUPERFAMILY	SSF51735		2	97	3.33E-31	T	18-04-2018	IPR036291	NAD(P)-binding domain superfamily
S0526	87fb89f9a38ff9c65d0bc8ee9af17547	107	Gene3D	G3DSA:3.40.50.720		1	97	9.1E-39	T	18-04-2018
S0526	87fb89f9a38ff9c65d0bc8ee9af17547	107	Pfam	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	2	96	6.8E-34	T	18-04-2018	IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain
S2083	a19db2ffdd0f3bfaf9d9a77c2a7f73ea	150	Pfam	PF04820	Tryptophan halogenase	2	146	5.2E-24	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S2083	a19db2ffdd0f3bfaf9d9a77c2a7f73ea	150	Gene3D	G3DSA:3.50.50.60		1	150	2.2E-33	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2536	5ef899754e1b50d23f0a2809d400d3cf	35	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	18-04-2018
S0620	42c4c193912f656adfa533f4422ba3e9	150	MobiDBLite	mobidb-lite	consensus disorder prediction	125	150	-	T	18-04-2018
S0620	42c4c193912f656adfa533f4422ba3e9	150	MobiDBLite	mobidb-lite	consensus disorder prediction	1	112	-	T	18-04-2018
S2511	0fe88a0f7eb068cd63bf88ad7ac35d11	102	Pfam	PF02866	lactate/malate dehydrogenase, alpha/beta C-terminal domain	65	97	7.3E-7	T	18-04-2018	IPR022383	Lactate/malate dehydrogenase, C-terminal
S2511	0fe88a0f7eb068cd63bf88ad7ac35d11	102	Gene3D	G3DSA:3.90.110.10		64	102	1.4E-12	T	18-04-2018	IPR015955	Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal
S2511	0fe88a0f7eb068cd63bf88ad7ac35d11	102	SUPERFAMILY	SSF56327		65	102	7.87E-13	T	18-04-2018	IPR015955	Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal
S2511	0fe88a0f7eb068cd63bf88ad7ac35d11	102	Pfam	PF00056	lactate/malate dehydrogenase, NAD binding domain	1	54	1.6E-11	T	18-04-2018	IPR001236	Lactate/malate dehydrogenase, N-terminal
S2511	0fe88a0f7eb068cd63bf88ad7ac35d11	102	SUPERFAMILY	SSF51735		2	64	2.84E-13	T	18-04-2018	IPR036291	NAD(P)-binding domain superfamily
S2511	0fe88a0f7eb068cd63bf88ad7ac35d11	102	Gene3D	G3DSA:3.40.50.720		1	63	6.1E-19	T	18-04-2018
S2511	0fe88a0f7eb068cd63bf88ad7ac35d11	102	ProSitePatterns	PS00068	Malate dehydrogenase active site signature.	64	76	-	T	18-04-2018	IPR001252	Malate dehydrogenase, active site
S1921	10949e2ee47338d2c7686a5e383da40f	37	Pfam	PF00296	Luciferase-like monooxygenase	1	37	2.1E-12	T	18-04-2018	IPR011251	Luciferase-like domain
S1921	10949e2ee47338d2c7686a5e383da40f	37	Gene3D	G3DSA:3.20.20.30		1	37	9.7E-19	T	18-04-2018	IPR036661	Luciferase-like domain superfamily
S1921	10949e2ee47338d2c7686a5e383da40f	37	SUPERFAMILY	SSF51679		1	37	2.19E-15	T	18-04-2018	IPR036661	Luciferase-like domain superfamily
S3022	3e4e02aed6c8056b62f5223a7d15c4fb	151	Pfam	PF04820	Tryptophan halogenase	4	150	1.4E-44	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3022	3e4e02aed6c8056b62f5223a7d15c4fb	151	Gene3D	G3DSA:3.50.50.60		1	151	5.8E-38	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3022	3e4e02aed6c8056b62f5223a7d15c4fb	151	SUPERFAMILY	SSF51905		36	53	4.21E-5	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3022	3e4e02aed6c8056b62f5223a7d15c4fb	151	SUPERFAMILY	SSF51905		80	148	4.21E-5	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1308	d1a880e24ec0c4f2dd683a31e4e79070	95	MobiDBLite	mobidb-lite	consensus disorder prediction	46	72	-	T	18-04-2018
S1308	d1a880e24ec0c4f2dd683a31e4e79070	95	MobiDBLite	mobidb-lite	consensus disorder prediction	1	21	-	T	18-04-2018
S0868	d5507e59791e475ff0fca4cb063d2321	98	SUPERFAMILY	SSF50182		3	42	8.5E-7	T	18-04-2018	IPR010920	LSM domain superfamily
S0868	d5507e59791e475ff0fca4cb063d2321	98	Gene3D	G3DSA:2.30.30.60		2	43	7.3E-6	T	18-04-2018	IPR023408	Mechanosensitive ion channel MscS domain superfamily
S0868	d5507e59791e475ff0fca4cb063d2321	98	Pfam	PF00924	Mechanosensitive ion channel	3	96	2.0E-18	T	18-04-2018	IPR006685	Mechanosensitive ion channel MscS
S0868	d5507e59791e475ff0fca4cb063d2321	98	SUPERFAMILY	SSF82689		46	97	2.22E-5	T	18-04-2018	IPR011066	Mechanosensitive ion channel MscS, C-terminal
S0212	f03fecf053be163f5cbea5773c42ee0d	56	MobiDBLite	mobidb-lite	consensus disorder prediction	26	56	-	T	18-04-2018
S3331	2d3e92101895ef4e53e2b374dac8b3b5	35	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	18-04-2018
S3437	4a5f10214419f2407ee2c82252fbcb8a	29	Gene3D	G3DSA:3.40.50.970		1	29	1.9E-9	T	18-04-2018
S3437	4a5f10214419f2407ee2c82252fbcb8a	29	Pfam	PF02775	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	1	29	3.1E-8	T	18-04-2018	IPR011766	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
S3437	4a5f10214419f2407ee2c82252fbcb8a	29	SUPERFAMILY	SSF52518		1	28	2.49E-9	T	18-04-2018	IPR029061	Thiamin diphosphate-binding fold
S0543	444c44acad23361909f97c766a7d55e7	42	Gene3D	G3DSA:3.20.20.120		1	42	2.4E-8	T	18-04-2018	IPR036849	Enolase-like, C-terminal domain superfamily
S0543	444c44acad23361909f97c766a7d55e7	42	SUPERFAMILY	SSF51604		2	41	4.86E-6	T	18-04-2018	IPR036849	Enolase-like, C-terminal domain superfamily
S3207	c4e212d9ae9022fab937483c9324a155	154	MobiDBLite	mobidb-lite	consensus disorder prediction	44	154	-	T	18-04-2018
S3207	c4e212d9ae9022fab937483c9324a155	154	MobiDBLite	mobidb-lite	consensus disorder prediction	1	22	-	T	18-04-2018
S0782	b8d5adcc43eb748478b58ee48bda61a3	122	MobiDBLite	mobidb-lite	consensus disorder prediction	1	24	-	T	18-04-2018
S0233	11bcb1a52ddcd3e1d1550d4df883aaf6	43	SUPERFAMILY	SSF52980		3	43	6.43E-7	T	18-04-2018	IPR011335	Restriction endonuclease  type II-like
S0233	11bcb1a52ddcd3e1d1550d4df883aaf6	43	Gene3D	G3DSA:3.90.320.10		1	43	1.5E-8	T	18-04-2018	IPR011604	Exonuclease, phage-type/RecB, C-terminal
S0541	3837b6723c846f36751aab91b09ab17c	41	MobiDBLite	mobidb-lite	consensus disorder prediction	22	41	-	T	18-04-2018
S3526	0bd519881c94cd135b72dd26a2e76398	45	Gene3D	G3DSA:3.40.50.970		1	44	9.6E-14	T	18-04-2018
S3526	0bd519881c94cd135b72dd26a2e76398	45	Pfam	PF02775	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	1	41	1.2E-13	T	18-04-2018	IPR011766	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
